instance,instance_path,customers,instance_type,solver,solver_parallel_jobs,status,time_sec,solution_found,evs,distance,error
C114_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C114_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0011122230025648605,True,4,709.1343152390816,
C115_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C115_C10x_n.txt,10,Clustered,ALNS,1,ok,0.3174756280022848,True,3,457.4239116598135,
C115_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C115_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0008357810002053156,True,5,644.2317523286575,
C116_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C116_C10x_n.txt,10,Clustered,ALNS,1,ok,0.22291378900263226,True,6,677.4071463177588,
C116_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C116_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.016155403001903323,True,6,677.4071463177588,
C117_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C117_C10x_n.txt,10,Clustered,ALNS,1,ok,0.30335826800001087,True,3,532.8489581444194,
C117_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C117_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0027468979969853535,True,4,600.7339438608197,
C118_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C118_C10x_n.txt,10,Clustered,ALNS,1,ok,0.3718013149991748,True,4,635.8068690437815,
C118_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C118_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0015814620019227732,True,5,693.7772454323176,
C119_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C119_C10x_n.txt,10,Clustered,ALNS,1,ok,0.297072452998691,True,3,463.1151016256581,
